product_id,name,brand,price,stock,category,warranty,model,size,material,author,publisher
P101,Laptop Pro,Dell,75000.0,15,Electronics,2 Years,XPS 13,,,,
P102,Smart Phone,Samsung,45000.0,25,Electronics,1 Year,Galaxy S21,,,,
P103,Wireless Headphones,Sony,12000.0,8,Electronics,1 Year,WH-1000XM4,,,,
P104,Mechanical Keyboard,Logitech,4500.0,30,Electronics,1 Year,MX Keys,,,,
P105,Gaming Mouse,Razer,3200.0,4,Electronics,2 Years,DeathAdder,,,,
P106,4K Monitor,LG,28000.0,12,Electronics,3 Years,UltraFine,,,,
P107,Smartwatch,Apple,38000.0,18,Electronics,1 Year,Series 8,,,,
P108,Bluetooth Speaker,JBL,5500.0,22,Electronics,1 Year,Charge 5,,,,
P109,External SSD 1TB,SanDisk,8500.0,6,Electronics,3 Years,Extreme,,,,
P110,Tablet,Apple,42000.0,14,Electronics,1 Year,iPad Air,,,,
P111,Denim Jacket,Levi's,4500.0,20,Clothing,,,L,Denim,,
P112,Crewneck T-Shirt,Nike,1500.0,50,Clothing,,,M,Cotton,,
P113,Slim Fit Chinos,Zara,2800.0,7,Clothing,,,32,Cotton-Blend,,
P114,Running Shorts,Adidas,1800.0,35,Clothing,,,L,Polyester,,
P115,Formal Shirt,Arrow,2200.0,16,Clothing,,,40,Cotton,,
P116,Hoodie,Puma,3200.0,5,Clothing,,,XL,Fleece,,
P117,Cargo Pants,H&M,2500.0,12,Clothing,,,34,Twill,,
P118,Polo T-Shirt,Lacoste,5200.0,9,Clothing,,,M,Pique Cotton,,
P119,Winter Coat,Marks&Spencer,8500.0,4,Clothing,,,L,Wool,,
P120,Tracksuit,Reebok,4200.0,15,Clothing,,,M,Nylon,,
P121,Atomic Habits,Penguin,650.0,40,Books,,,,,James Clear,Random House
P122,Deep Work,Grand Central,550.0,25,Books,,,,,Cal Newport,Hachette
P123,Clean Code,Prentice Hall,3200.0,8,Books,,,,,Robert C. Martin,Pearson
P124,The Pragmatic Programmer,Addison-Wesley,3800.0,5,Books,,,,,Andy Hunt,Pearson
P125,Sapiens,Harvill Secker,750.0,30,Books,,,,,Yuval Noah Harari,Harper
P126,Psychology of Money,Harriman,450.0,50,Books,,,,,Morgan Housel,Harriman House
P127,Thinking Fast and Slow,FSG,600.0,18,Books,,,,,Daniel Kahneman,Macmillan
P128,Design Patterns,Addison-Wesley,4200.0,3,Books,,,,,Erich Gamma,Pearson
P129,Zero to One,Crown,520.0,22,Books,,,,,Peter Thiel,Crown Business
P130,Rich Dad Poor Dad,Plata,400.0,60,Books,,,,,Robert Kiyosaki,Plata Publishing
