transaction_id,product_id,product_name,category,quantity,price,customer_city,payment_method
T1001,P101,Laptop Pro,Electronics,1,75000,Bangalore,Credit Card
T1002,P102,Smart Phone,Electronics,2,45000,Delhi,UPI
T1003,P112,Crewneck T-Shirt,Clothing,3,1500,Mumbai,Debit Card
T1004,P121,Atomic Habits,Books,2,650,Bangalore,UPI
T1005,P103,Wireless Headphones,Electronics,1,12000,Chennai,Credit Card
T1006,P113,Slim Fit Chinos,Clothing,2,2800,Hyderabad,Cash
T1007,P126,Psychology of Money,Books,4,450,Pune,UPI
T1008,P104,Mechanical Keyboard,Electronics,2,4500,Delhi,Net Banking
T1009,P111,Denim Jacket,Clothing,1,4500,Mumbai,Credit Card
T1010,P123,Clean Code,Books,1,3200,Bangalore,UPI
T1011,P106,4K Monitor,Electronics,1,28000,Hyderabad,Credit Card
T1012,P114,Running Shorts,Clothing,2,1800,Chennai,UPI
T1013,P125,Sapiens,Books,1,750,Delhi,Debit Card
T1014,P107,Smartwatch,Electronics,1,38000,Bangalore,Credit Card
T1015,P115,Formal Shirt,Clothing,3,2200,Pune,Cash
T1016,P122,Deep Work,Books,2,550,Mumbai,UPI
T1017,P105,Gaming Mouse,Electronics,1,3200,Delhi,UPI
T1018,P118,Polo T-Shirt,Clothing,1,5200,Bangalore,Credit Card
T1019,P124,The Pragmatic Programmer,Books,1,3800,Hyderabad,Net Banking
T1020,P108,Bluetooth Speaker,Electronics,2,5500,Chennai,UPI
T1021,P116,Hoodie,Clothing,1,3200,Pune,Cash
T1022,P127,Thinking Fast and Slow,Books,2,600,Delhi,Debit Card
T1023,P109,External SSD 1TB,Electronics,1,8500,Mumbai,Credit Card
T1024,P117,Cargo Pants,Clothing,2,2500,Bangalore,UPI
T1025,P130,Rich Dad Poor Dad,Books,5,400,Chennai,Cash
T1026,P110,Tablet,Electronics,1,42000,Hyderabad,Credit Card
T1027,P119,Winter Coat,Clothing,1,8500,Delhi,Net Banking
T1028,P128,Design Patterns,Books,1,4200,Bangalore,UPI
T1029,P101,Laptop Pro,Electronics,1,75000,Mumbai,Credit Card
T1030,P120,Tracksuit,Clothing,2,4200,Pune,Debit Card
T1031,P129,Zero to One,Books,3,520,Hyderabad,UPI
T1032,P102,Smart Phone,Electronics,1,45000,Bangalore,Credit Card
T1033,P112,Crewneck T-Shirt,Clothing,4,1500,Delhi,UPI
T1034,P103,Wireless Headphones,Electronics,1,12000,Pune,Net Banking
T1035,P121,Atomic Habits,Books,3,650,Mumbai,UPI
T1036,P113,Slim Fit Chinos,Clothing,1,2800,Chennai,Cash
T1037,P106,4K Monitor,Electronics,1,28000,Bangalore,Credit Card
T1038,P126,Psychology of Money,Books,2,450,Delhi,Debit Card
T1039,P115,Formal Shirt,Clothing,2,2200,Hyderabad,UPI
T1040,P107,Smartwatch,Electronics,1,38000,Mumbai,Credit Card
T1041,P122,Deep Work,Books,1,550,Chennai,Cash
T1042,P104,Mechanical Keyboard,Electronics,1,4500,Pune,UPI
T1043,P114,Running Shorts,Clothing,3,1800,Bangalore,Debit Card
T1044,P125,Sapiens,Books,2,750,Hyderabad,UPI
T1045,P108,Bluetooth Speaker,Electronics,1,5500,Delhi,Credit Card
T1046,P111,Denim Jacket,Clothing,2,4500,Mumbai,Net Banking
T1047,P130,Rich Dad Poor Dad,Books,3,400,Bangalore,UPI
T1048,P110,Tablet,Electronics,1,42000,Delhi,Credit Card
T1049,P118,Polo T-Shirt,Clothing,1,5200,Hyderabad,UPI
T1050,P101,Laptop Pro,Electronics,1,75000,Pune,Credit Card
